objectid,filename,title,format,scope,subject,description,object classification,location,size,origin,type,teacher/center,Buddhism ,latitude,longitude,youtube id
center_3019,center_3019.JPG,Bhoomisparsa Buddha,image/jpeg,object,Wat Buddhasamakkee Germany,Image of sitting Buddha with ground touching posture with halo. Representing the moment of enlighten from buddha gaya.,,"Markusstraße 44,47055, Duisburg",,,,,,,,
center_3020,center_3020.JPG,panal of different posture Buddha,image/jpeg,object,Wat Buddhasamakkee Germany,"Representing different posture thai style Buddha. left to right 1. sitting Buddha with mucalinda snake cover,standing Buddha, sitting Buddha, two standing Buddha, sleeping Buddha, walking Buddha, standing Buddha.",,"Markusstraße 44,47055, Duisburg",,,,,,,,
center_3021,center_3021.JPG,A setup of thai shine hall,image/jpeg,display,Wat Buddhasamakkee Germany,"Setup of thai buddhist buddha arrangements in worshipping hall, with huge sitting Buddha backside, middle Enlighten  Buddha with halo representation Enlightenment for Buddhagaya,and in the front thai style samdhi Buddha with high asana . both sode decorative objects and front two candle and incense.",,"Markusstraße 44,47055, Duisburg",,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
cover,cover.jpg,,,,,,,,,,,,,,,
