objectid,filename,parentid,title,format,scope,subject,description,object classification,location,size,origin,type,teacher/center,Buddhism ,latitude,longitude,youtube id
center_3018,center_3018.jpg,center_3014,Phra pratarnporn,image/jpeg,object,Wat Buddhasamakkee Germany,"A statue of meditating Buddha made up with silver, the sitting position with cross leg and right palm on the top of left palm. (Samadhi Asana). Traditional art from Luang phor Pae with craving Asana with protective deities and lotus base.",,"Markusstraße 44,47055, Duisburg",,Thailand,,,"Theravada,Thailand",,,
center_3019,center_3019.jpg,center_3014,Buddha,image/jpeg,object,Wat Buddhasamakkee Germany,An Image of sitting Buddha with ground touching posture with halo. Representing the moment of enlighten from Bodhagaya.,,"Markusstraße 44,47055, Duisburg",,Thailand,,,"Theravada,Thailand",,,
center_3020,center_3020.jpg,center_3014,Buddha in different posture,image/jpeg,object,Wat Buddhasamakkee Germany,"A representing different posture, Thai style Buddha. Left to right 1. A sitting Buddha with Mucalinda naga protected, a standing Buddha, a sitting Buddha, two standing Buddha, sleeping Buddha, walking Buddha, standing Buddha.",,"Markusstraße 44,47055, Duisburg",,Thailand,,,"Theravada,Thailand",,,
center_3021,center_3021.jpg,center_3014,A traditional Thai setup of Buddha statues,image/jpeg,display,Wat Buddhasamakkee Germany,"A setup of Thai Buddhist Buddha arrangements in worshiping hall, with huge sitting Buddha backside, middle Enlighten Buddha with halo representation Enlightenment for Buddhagaya, and in the front Thai style samdhi Buddha with high Asana. Both side decorative objects and front two candle and incense.",,"Markusstraße 44,47055, Duisburg",,Thailand,,,"Theravada,Thailand",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
cover,cover.jpg,,,,,,,,,,,,,,,,
